,month,day,year,char_unknow,time_hour,time_minutes,operator,category_operator,ac_type,category_ac_type,country,route,aboard_people,fatalities_total,ground_deads,summary
2361,January,16,1968,not c,Unknown,Unknown,Mililtary - U.S. Navy,No category,Lockheed P-3A,Cessna,Japan,Unknown,12 ,12 ,0,"Crashed into Kamegamori Mountain, near border between Ehime and Kouchi."
2362,January,17,1968,not c,Unknown,Unknown,Military - U.S. Air Force,Military,Boeing KC-135A,Douglas,United States,Unknown,13 ,13 ,0,"Rotated too early, stalled and crashed during a snowstorm."
2363,January,27,1968,not c,Unknown,Unknown,Air Comores,Air,de Havilland DH-114 Heron 1B,No category,Comoro Islands,Unknown,16 ,15 ,0,"Touched down on the right side of the runway, bounced, crashed into landing lights and into the sea.  Inadequate supervision of the flight by the pilot-in-command."
2364,February,06,1968,not c,Unknown,Unknown,Military - U.S. Navy,Military,Lockheed P-3B Orion,Cessna,Vietnam,Unknown,12 ,12 ,0,Crashed and sank in about 100 feet of water while on patrol.
2365,February,07,1968,not c,Unknown,Unknown,Canadian Pacific Air Lines,Air,Boeing B-707-138B,Douglas,Canada,Honolulu - Vancouver,61 ,1 ,1,"Visual reference was lost in fog after the flare and prior to touchdown. The aircraft overran the runway and collided with a parked aircraft, some vehicles and two buildings. Failure to evaluate existing terminal weather information and to discontinue the attempt to land."
2366,February,07,1968,c,15,00,Military - Indian Air Force,Military,Antonov AN-12BP,No category,Northern India,"Leh, Kashmir - Chandigarh, Punjab",98 ,98 ,0,"Vanished without a trace over the Himalayas while en route. The remains of one victim from the plane were found in the Rohtang Pass in August 2003. The wreckage itself and other remains would be found in August 2005. Cause unknown, but believed to be premature descent due to bad weather, resulting in a collision with a mountain. On July 15, 2012 the debris was found over Dakka Glacier by mountaineers."
2367,February,16,1968,c,21,20,Civil Air Transport,Transport,Boeing B-727-92C,Douglas,Taiwan,Hong Kong - Taipei,63 ,21 ,1,"The aircraft descended below the glideslope, struck trees and  a house, short of runway, at night, in poor weather. Pilot was not qualified to fly."
2368,February,21,1968,not c,19,35,Havasu City Air - Air Taxi,Taxi,Cessna 210,No category,United States,Unknown,3 ,3 ,0,Undetermined probable cause.
2369,February,24,1968,not c,Unknown,Unknown,Royal Air Lao,Air,Douglas DC-3,No category,Laos,Vientiane - Sayaboury,37 ,37 ,0,Crashed into the Mekong River.
2370,February,29,1968,not c,22,43,Aeroflot,No category,Ilyushin IL-18D,No category,Russia,Krasnoyarsk - 	Petropavlovsk,84 ,83 ,0,After an emergency situation and emergency descent the plane broke apart at FL100 and crashed. One passenger survived. Fuel leak.
2371,February,29,1968,not c,Unknown,Unknown,Aeroflot,No category,Ilyushin IL-18D,No category,Russia,Krasnoyarsk - Petropavlovsk,82 ,82 ,0,"Cruising at flight level 260, some type of emergency developed. An abrupt descent was begun and accelerated until aerodynamic forces broke apart the plane. Cause unknown."
2372,March,05,1968,not c,08,00,Military - U.S. Air Force,Military,Fairchild C-123K,No category,South Vietnam,Hue - Khe Sanh,49 ,49 ,0,The aircraft attempted a go-around after a small plane landed in front of it but was shot down by enemy ground fire. The plane was hit in the right turbine and crashed in flames.
2373,March,06,1968,not c,20,32,Air France,Air,Boeing B-707-328C,Douglas,West Indies,Caracas - Pointe a Pitre,63 ,63 ,0,"After reporting the field in sight, the aircraft struck the ridge of a dormant volcano. The crew initiated a descent from an incorrectly identified point while flying VFR."
2374,March,08,1968,not c,19,18,Air Manila,Air,Fairchild F-27,No category,Philippines,Manila - Lapu Lapu,14 ,14 ,0,"Cashed into the sea. In-flight structural failure due to air loads exceeding the design strength, while flying into a thunderstorm cell."
2375,March,09,1968,not c,23,20,Military - French Air Force,Military,Douglas DC6B,No category,Reunion,Saint Denis - Paris,20 ,19 ,0,Crashed into a hill shortly after taking off from the Indian Ocean island. The pilot did not follow the correct departure procedure of turning out towards the ocean after takeoff.
2376,March,19,1968,not c,19,37,Viking Airways - Air Taxi,Taxi,Cessna 182,No category,United States,Unknown,2 ,2 ,0,Crashed into the water while attempting to stay below ceiling on dark night. Continued VFR flight into adverse weather conditions.
2377,March,23,1968,not c,13,00,Fortaire Aviation - Air Taxi,Taxi,Brantly 305,No category,United States,Unknown,5 ,3 ,0,Crashed while attempting to land. Sank into the Mississippi River. Improper compensation for wind conditions.
2378,March,24,1968,not c,10,59,Aer Lingus,No category,Vickers Viscount 803,No category,Ireland,Cork - London,61 ,61 ,0,"The aircraft was believed to have gone into a spin or spiral dive with recovery at about 12,000 ft. The dive apparently caused structural damage which resulted in the aircraft plunging into St George's Channel, 10 miles east of Carnsore Point. Possible causal factors may have been metal fatigue, corrosion, flutter (vibration) or a bird strike."
2379,March,27,1968,not c,17,57,Ozark Air Lines / Private,Air,McDonnell Douglas DC-9 and Cessna 150F,No category,United States,"Peoria, IL - St. Louis, MO",51 ,2 ,0,"Midair collision. Both planes were in a landing pattern. The collision resulted in damage to the DC9's wing with fuel pouring out but the plane was able to make a safe landing.  Two killed on the Cessna, no one killed on the DC-9.  Inadequacy of current VFR standards. The DC-9 crew not sighting the Cessna in time to avoid it. Congested traffic pattern."
2380,March,27,1968,not c,10,31,Military - Russian Air Force,Military,MiG-15 UTI,No category,Russia,Unknown,2 ,2 ,0,"Soviet cosmonaut Yuri Gagarin, 34, the first man in space, was killed along with his instructor, when the military fighter they were training in crashed approximately 30 miles east of Moscow."
2381,April,01,1968,not c,Unknown,Unknown,Military - U.S. Navy,Military,Lockheed P-3B Orion,Cessna,Vietnam,Unknown,12 ,12 ,0,Shot down by enemy fire.
2382,April,08,1968,not c,15,35,British Overseas Airways,Air,Boeing B-707-465,Douglas,England,London - Zurich,127 ,5 ,0,"Shortly after leaving the runway during takeoff the No. 2 engine caught fire. Through some confusion, the crew did not pull the fire shutoff handle. The fire continued to burn and while attempting to land, the No. 2 engine fell away. After the plane came to a stop, the wing tank exploded."
2383,April,08,1968,not c,Unknown,Unknown,Ladeco,No category,Douglas DC-3,No category,Chile,Unknown,36 ,36 ,0,Crashed while on approach 5 minutes from its destination. Failure of the right wing.
2384,April,10,1968,not c,15,23,Canair Corp. - Air Taxi,Taxi,Cessna 182,No category,United States,Unknown,4 ,4 ,0,Flew into mountain upslope in rain and fog. Continued VFR flight into adverse weather conditions.
2385,April,10,1968,not c,Unknown,Unknown,Aerovias Rojas,No category,Douglas DC-3,No category,Mexico,Aguascalientes - Mexico City,18 ,18 ,0,While operating on its inaugural flight the aircraft crashed into a mountain en route after getting lost.
2386,April,19,1968,not c,10,45,Military - U.S. Army / Military - U.S. Army,Military,Bell UH-1H / Bell UH-1H (helicopter),No category,South Vietnam,Unknown,26 ,26 ,0,"A mid-air collision occurred between the two helicopters at about 1,000 ft. altitude."
2387,April,19,1968,not c,Unknown,Unknown,Military - Royal Air Force,Military,Avro Shackleton MR-2,No category,England,Unknown,11 ,11 ,0,Crashed during anti-submarine exercises.
2388,April,20,1968,c,18,50,South African Airways,Air,Boeing B-707-344C,Douglas,South-West  Africa (Namibia),Windhoek - Luanda,128 ,123 ,0,"The aircraft took off from J. G. Strijdom Airport, climbed to an altitude of 600 ft. and then descended, crashing, about one minute after taking off 3 miles from the runway. Procedural errors during takeoff . Takeoff conditions in total darkness with no external visual reference. Stabilizer trim improperly set, spatial disorientation and preoccupation with after takeoff duties."
2389,April,22,1968,not c,Unknown,Unknown,Aeroflot,No category,Ilyushin IL-18V,No category,Russia,Training,5 ,5 ,0,Struck power lines while landing.
2390,April,27,1968,not c,23,33,Utility Helocopter - Air Taxi,Taxi,Bell 206A,No category,United States,Unknown,5 ,5 ,0,Crashed into the ocean 8 miles offshore. Undetermined probable cause.
2391,April,30,1968,not c,Unknown,Unknown,Military - Pakistan Air Force,Military,Lockheed Martin L-100-10,Cessna,West Pakistan,Unknown,22 ,22 ,0,"Crashed while en route after encountering turbulence, possibly leading to a break-up of the aircraft."
2392,May,03,1968,not c,15,48,Braniff Airlines,Air,Lockheed L188A Electra,Cessna,United States,Houston - Dallas-Fort Worth,85 ,85 ,0,"On a flight from Houston to Dallas the airliner flew into thunderstorms. While attempting to turn around by making a right hand turn, winds lifted the port wing, forcing the starboard wing down past 90 degrees.  A stall resulted from this unusual attitude, pitching the nose down. During the recovery maneuver, the starboard wing was over-stressed, separating from the aircraft followed by the the tail and engines. The aircraft crashed into a field. Pilot's decision to penetrate a line of thunderstorms and severe weather. Visual perception of the pilot may have been reduced by a near lightning strike."
2393,May,07,1968,c,12,00,Military - Royal Air Force,Military,Armstrong Whitworth Argosy C-1,No category,Libya,Libya - England,11 ,11 ,0,"The plane's wing hit an obstruction, the plane cartwheeled and broke-up and burst into flames. The obstruction was a 45 gallon drum which had been placed about 7 feet high on a structure being used as a shower."
2394,May,12,1968,not c,16,00,Military - U.S. Air Force,Military,Lockheed C-130B Hercules,Cessna,Vietnam,Unknown,155 ,155 ,0,"Shot down by enemy fire while attempting to evacuate Kham Duc civilians.  The aircraft shook  violently, crashed and burst into flames in a ravine at the end of the airstrip."
2395,May,14,1968,not c,21,46,Phillips Flying Service - Air Taxi,Taxi,Piper PA-23,No category,United States,Unknown,4 ,4 ,0,"Collided with trees on final approach in rain, fog and low ceiling. Continued VFR flight into adverse weather conditions."
2396,May,22,1968,not c,16,51,Los Angeles Airways,Air,Sikorsky S-61L helicopter,No category,United States,Anaheim - LAX,23 ,23 ,0,The helicopter suddenly descended to the ground with an erratic action of the main rotor blades and burst into flames. A faulty main rotor blade damper caused one of the rotor blades to detach for reasons undetermined and strike the fuselage.
2397,May,28,1968,not c,Unknown,Unknown,Garuda Indonesia Airlines,Air,Convair CV-990-30A-5,No category,India,Unknown,29 ,29 ,1,"The aircraft crashed in a nearly vertical attitude, 5 minutes after takeoff, 20 nm from the airport."
2398,June,01,1968,not c,13,45,Houston-Beech - Air Taxi,Taxi,Cessna 411,No category,United States,Unknown,4 ,3 ,0,Engine failure on takeoff. Pilot failed to follow proper emergency procedures. Cause of engine failure unknown.
2399,June,12,1968,not c,00,58,Pan American World Airways,Air,Boeing B-707-321C,Douglas,India,Bangkok - Karachi,63 ,6 ,0,"Crashed  1,200 meters short of the runway and hit a tree and caught fire in heavy rain on a night approach. Improper IFR operation. Misused or failed to use flaps. Descended below decision height. The aircraft was named ""Clipper Caribbean."""
2400,June,18,1968,not c,16,50,Rinaldo Piaggio,No category,Piaggio PD-808,No category,Spain,Unknown,6 ,6 ,0,The aircraft flew into the side of Mt. Jaiskibel after turned in the wrong direction.
2401,June,25,1968,not c,07,30,Military - U.S. Army,Military,Bell UH-1H / Bell UH-1H / Bell UH-1H,No category,South Vietnam,Unknown,29 ,29 ,0,A mid-air collision between three helicopters at 900 ft. (66-16202) (66-16592) (66-16601).
2402,June,28,1968,not c,12,46,Purdue Airlines Inc.,Air,Douglas DC-3 (C-47-DL),No category,United States,Unknown,27 ,1 ,0,"Passenger inadvertentlly opened air stair door in flight, safety chain failed and passenger fell out."
2403,July,03,1968,not c,Unknown,Unknown,BKS Air Transport,Transport,Airspeed AS.57 Ambassador 2,No category,England,"Deauville, France - London, England",8 ,6 ,0,"The cargo plane's left wing struck the ground, the plane struck two other planes, burst into flames and came to rest on its back near a building. Failure of the port flap operating rod due to fatigue, permitting the port flaps to retract. This resulted in a rolling moment to port which could not be controlled."
2404,July,07,1968,not c,Unknown,Unknown,Red Aircraft Service - Air Taxi,Taxi,Piper PA-23,No category,United States,Ft. Lauderdale - Bahama Island,4 ,4 ,0,Crashed while en route. Only right wing tip recovered. Undetermined probable cause.
2405,July,08,1968,not c,Unknown,Unknown,Saudi Arabian Airlines,Air,Convair CV-340-68B,No category,Saudi Arabia,Unknown,11 ,11 ,0,Crashed after a third aborted landing attempt in poor visibility and blowing dust. Failure of the captain to maintain minimum altitude for reasons unknown. Poor judgement by the pilot in attempting a fourth landing.
2406,July,13,1968,not c,Unknown,Unknown,Sabena,No category,Boeing 707-329C,Douglas,Nigeria,Brussels - Lagos,7 ,7 ,0,The cargo plane descended below mimimum safe altitude and struck trees and crashed.
2407,July,15,1968,not c,Unknown,Unknown,Varig,No category,Curtiss C-46C,No category,Brazil,Unknown,3 ,3 ,0,Struck a mountain.
2408,July,18,1968,not c,Unknown,Unknown,Aerolineas Flecha Austral,Air,Curtiss C-46D,No category,Off Chili,Unknown,5 ,5 ,0,Lost at sea.
2409,July,28,1968,not c,Unknown,Unknown,Military - U.S. Air Force,Military,Douglas C-124C,No category,Near Recife Brazil,Unknown,10 ,10 ,0,Struck a mountain while en route.
2410,August,01,1968,not c,08,00,Mid Island Air - Air Taxi,Taxi,Cessna 182H,No category,United States,Unknown,3 ,3 ,0,Struck guy wires of tower while flying below low cloud level. Continued VFR flight into adverse weather conditions.
2411,August,02,1968,not c,14,06,Alitalia,No category,McDonnell Douglas DC-8,No category,Italy,Rome - Milan,95 ,13 ,0,"Crashed on approach, 7 miles north of the runway. Positioning for final approach by means of a non-standard procedure. Delayed detection of the VOR radial."
2412,August,04,1968,not c,08,48,North Central Airlines / Private,Air,Convair CV-580 / Cessna 150,No category,United States,Unknown,15 ,3 ,0,"Midair collision with the Cessna which became embedded in the forward baggage compartment.  Three person on the Cessna were killed none on the Convair.  Lack of VFR separation. Inability of the Convair crew to detect the Cessna in sufficient time to take evasive action despite having been provided with three radar traffic advisories. Visual detection capabalities were substantially reduced by heavy accumulation of insect smears on the windshield and by haze, smoke and sun glare."
2413,August,09,1968,not c,13,05,British Eagle International Airlines,Air,Vickers Viscount 739A,No category,Germany,London - Innsbruck,48 ,48 ,0,"The aircraft broke up in-flight after plunging from 21,000 ft. Failure of the aircraft's electrical DC generator control system."
2414,August,10,1968,not c,07,57,Piedmont Airlines,Air,Fairchild-Hiller FH-227B,No category,United States,"Cincinnati - Charleston, WV",37 ,35 ,0,"Crashed on approach to Kanawha County Airport in poor visibility. The aircraft was being operated under VFR when it entered a shallow fog overlying the approach lights.  Unrecognized loss of altitude orientation during the final portion of the approach into shallow, dense fog. Disorientation caused by rapid reduction in the ground guidance segment available to the pilot at a point beyond which a go-around could not be initiated."
2415,August,14,1968,not c,09,35,Los Angeles Airways,Air,Sikorsky S-61L helicopter,No category,United States,Unknown,21 ,21 ,0,The main rotor blade of the helicopter separated from the central hub. The aircraft spun to destruction as the tail cone sheared off. Metallurgical fault during manufacture of the main rotor blade spindle. Fatigue origin in area of substandard hardness and inadequate shot peening on main rotor blade spindle.
2416,August,18,1968,not c,09,20,United Arab Airlines,Air,Antonov AN-24V,No category,Egypt,Cairo - Damascus,40 ,40 ,0,Ditched into the Mediterranean sea. Cause unknown.
2417,August,20,1968,not c,01,30,Linea Aeropostal Venezolana,Air,Hawker Siddeley HS-748-215-2,No category,Venezuela,Unknown,7 ,4 ,0,The plane crashed while returning to the airport for an emergency landing after the No. 1 engine failed on takeoff.
2418,August,28,1968,not c,07,25,Island Sky Ferry - Air Taxi,Taxi,Cessna 172,No category,United States,Unknown,2 ,0 ,0,Misjudged altitude and crashed into water.  Right wing struck open water during a low turn away from a fog bank. Continued VFR flight into adverse weather conditions.
2419,August,31,1968,not c,Unknown,Unknown,Westwing,No category,de Havilland Canada DHC-3 Otter,No category,Norway,Unknown,6 ,5 ,0,Crashed into a hill in poor weather conditons while flying raindeer hunters to a mountain location. One man survived by jumping from the plane seconds before it caught fire.
2420,September,03,1968,c,21,25,Bulair TABSO,Air,Ilyushin IL-18,No category,Bulgaria,Unknown,89 ,47 ,0,Crashed on approach descending into the ground short of the runway. Deviation from the prescribed flight rules to accomplish a visual approach in adverse weather conditions.
2421,September,08,1968,not c,14,55,Far Aviation - Air Taxi / Speeds Flying - Air Taxi,Taxi,Cessna 402 / Piper PA-28,No category,United States,Unknown,9 ,2 ,0,Midair collision. Pilot of Cessna failed to see and avoid other aircraft. Two aboard the Piper killed.
2422,September,11,1968,c,10,30,Air France,Air,Sud-Aviation Caravelle 3,No category,France,Ajaccio - Nice,95 ,95 ,0,"The airliner crashed into the Mediterranean sea, 10 miles south of Nice Airport, while attempting an emergency landing 21 minutes after taking off. Prior to the crash a message was received that there was fire aboard in the rear of the cabin."
2423,September,24,1968,not c,Unknown,Unknown,Military - U.S. Air Force,Military,Boeing KC-135A,Douglas,Wake Island,Unknown,52 ,11 ,0,Experienced engine trouble and divered to Wake. The plane skidded on the runway with the tail on fire.
2424,September,28,1968,not c,Unknown,Unknown,Pan African Airlines,Air,Douglas C-54B,No category,Nigeria,Lagos - Port Harcourt,57 ,57 ,1,"While on final approach, the aircraft hit trees and crashed into a village and caught fire."
2425,October,01,1968,not c,11,15,Kenai Air Service - Air Taxi,Taxi,Beechcraft D50A,No category,United States,Unknown,3 ,3 ,0,Aircraft crashed on tide flats shortly after take off. Undetermined probable cause.
2426,October,03,1968,not c,16,10,Military - U.S. Air Force / Military -  U.S. Army,Military,de Havilland C-7B / Boeing Vertol CH-47A,Douglas,South Vietnam,Unknown,25 ,25 ,0,A mid-air collision between the fixed-wing aircraft and helicopter at the de Havilland C-7A prepared to land and the Boeing Vertol took off.
2427,October,08,1968,not c,Unknown,Unknown,Aerovias del Valle,No category,Britten-Norman BN-2 Islander,No category,Costa Rica,Unknown,10 ,10 ,0,Crashed while attempting to land.
2428,October,08,1968,not c,03,55,Catalina - Vega - Air Taxi,Taxi,de Havilland DH-104,No category,United States,Unknown,4 ,4 ,0,Fire and explosion in flight during initial climb. Undetermined origin under cockpit floorboard.
2429,October,10,1968,not c,18,45,Augusta Aviaiton - Air Taxi,Taxi,Piper PA-23,No category,United States,Unknown,3 ,2 ,0,Collision with side of mountian. Improper IFR operation. Pilot did not follow published ADF approach. Premature descent.
2430,October,11,1968,not c,Unknown,Unknown,Ceskoslovenske Aerolinie,No category,Avia 14-40,No category,Czechoslovakia,Praha - Kosice,40 ,11 ,0,Crashed shortly after takeoff.
2431,October,19,1968,not c,Unknown,Unknown,Military - Turkish Air Force,Military,Lockheed C-130E Hercules,Cessna,Turkey,Unknown,10 ,10 ,0,Struck a mountain.
2432,October,20,1968,not c,Unknown,Unknown,Cruzeiro,No category,Douglas C-47A-25,No category,Brazil,Unknown,19 ,19 ,0,Tried to return to the airport for an emergency landing after an engine failed.
2433,October,21,1968,not c,06,00,Military - U.S. Air Force,Military,Douglas C-47D,No category,South Vietnam,Saigon - Da Nang,23 ,23 ,0,The aircraft crashed en route after the pilot transmitted a Mayday reporting the failure of the No. 2 engine and inability to feather the propeller. It crashed 20 miles from the airfield it intended to make an emergency landing at.
2434,October,25,1968,not c,17,17,Northeast Airlines,Air,Fairchild-Hiller FH227C,No category,United States,"Boston, MA - Montpelier, VT - Lebanon, NH",42 ,32 ,0,The aircraft crashed into Moose Mountain during an approach. Execution of a non-standard approach.  Premature descent. The crew was not able to determine accurately its position because they had performed a non-standard instrument approach and there were no supplement navigational aids available for their use.
2435,November,21,1968,not c,09,54,Barrow Air Service - Air Taxi,Taxi,Aero Commander 680-E,No category,United States,Unknown,8 ,7 ,0,Engine failure on climb out for undetermined reasons. Aircraft allowed to enter condition of asymmetrical thrust. Improper emergency procedures. Aircraft overloaded by 475 lbs.
2436,November,22,1968,not c,01,24,Japan Air Lines,Air,McDonnell Douglas DC-8-62,No category,United States,Tokyo - San Francisco,107 ,0 ,0,"The plane landed in the shallow waters of San Francisco Bay, 2.5 mile short of the Runway 28L. All 107 people aboard were safely evacuated off the plane without injury. According to the NTSB, the captain said he was making a coupled approach, but because of problems with his pressure altimeter, he was relying on the more accurate radio altimeter for verification of altitude. The captain looked up expecting to be 200 feet above the water but instead was nearly in the water. He applied power but it was too late. The captain did not cross-check the raw data glide-slope signals and didn't realize the ILS on-course position was far above where he was. The  improper application of the prescribed procedures to execute an automatic-coupled ILS approach. This deviation from the prescribed procedures was, in part, due t o a lack of familiarization and infrequent operation of the installed flight director and autopilot system.  As a result, Japan Air Lines changed their training procedures to stress command responsibilities, crew coordination and transition time for new type of aircraft. The aircraft was recovered from the San Francisco Bay 55 hours after the accident, repaired at a United Air Lines facility and eventually flow back to Japan where it was put  in service for many decades."
2437,November,23,1968,not c,19,59,Cable Commuter,No category,de Havilland Canada DHC-6 Twin Otter 200,No category,United States,Los Angeles - Santa Ana,9 ,9 ,0,"While on approach to the airport, in dense fog, the aircraft descended prematurely and its left wing clipped a 30 ft. light pole on the grounds of a fire station 1.8 miles northwest of the runway threshold. The plane then veered into the adjacent elevated western embankment of a freeway and broke up, spewing flaming wreckage across all six traffic lanes. Improper IFR operation. Misjudged altitude."
2438,November,25,1968,not c,Unknown,Unknown,Air America,Air,Curtiss C-46D-20-CU,No category,Laos,Unknown,28 ,26 ,0,Crashed shortly after taking off.
2439,November,26,1968,not c,13,25,Stikine Air Service - Air Taxi,Taxi,Cessna 185,No category,United States,Unknown,5 ,2 ,0,Failed to maintain directional control on take off and crashed. Left float struck rock. Took off at low tide in quartering tail wind.
2440,December,02,1968,not c,09,36,Wien Consolidated Airlines,Air,Fairchild F-27B,No category,United States,Anchorage - Iliamna,39 ,39 ,0,"Broke up in severe turbulence at 11,500 feet. Failure of the right wing that was weakened by pre-existing fatigue cracks.  The turbulence was not forcast and not known to the flight crew.  Improper maintenance. Incorrect weather forcast."
2441,December,06,1968,not c,18,20,Conquest Airways - Air Taxi,Taxi,Beechcraft E18S,No category,Virgin Islands,Unknown,11 ,3 ,0,Aircraft failed to maintain flying speed during initial climb. Center of gravity aft of limits. Possible misuse of flaps.
2442,December,08,1968,not c,10,55,Northwest Moon - Air Taxi,Taxi,Aero Commander 560-F,No category,United States,Unknown,3 ,3 ,0,Crashed while en route. Pilot flew into icing conditions and turbulence.  Continued VFR flight into adverse weather conditions.
2443,December,12,1968,not c,22,02,Pan American World Airways,Air,Boeing B-707-321B,Douglas,Venezuela,New York City - Caracas,51 ,51 ,0,"En route from New York City, the airliner crashed in the Caribbean sea and exploded while descending for a landing  at Maiquetia Airport. Possible sensory illusion produced by the town lights on upslope. The aircraft was named ""Clipper Malay."""
2444,December,24,1968,not c,20,12,Allegheny Airlines,Air,Convair CV-580,No category,United States,Detroit - Erie - Bradford - Washington D.C.,47 ,20 ,0,"The aircraft crashed into trees in the snow, 2.5 miles short of the runway, during an instrument approach. Continuation of the descent below minimum descent altitude into obstructing terrain while both pilots were looking outside to establish visual reference to the ground. Improper IFR operation. Misread or failed to read instruments."
2445,December,24,1968,not c,04,30,Interior Airways,Air,Lockheed L-100 Hercules,Cessna,United States,Fairbanks - Prudhoe Bay,4 ,2 ,0,The cargo plane crashed after a go-around was attempted in a snowstorm. Pilot in command continued VFR flight into adverse weather conditions and delayed in initiating go around. Weather conditions - down and up drafts.
2446,December,26,1968,not c,Unknown,Unknown,Exportada De Sal S.A.,No category,Douglas DC-3,No category,Mexico,"Tijuana - Black Warrior Lagoon, Baja",12 ,12 ,0,Crashed into a mountain after being blown off course by a storm while en route.
2447,December,26,1968,not c,Unknown,Unknown,Pan American World Airways,Air,Boeing 707-321CF,Douglas,United States,"San Francisco - Anchorage - Cam Ranh Bay, Vietnam",3 ,3 ,0,"The stickshaker sounded shortly after VR. The aircraft rotated and climbed slowly.  The right wing contacted the snow covered ground 94 feet left of the extended centerline at a distance of 2,760 feet from the runway.  The aircraft rolled inverted and broke up.  The probable cause was an attempted takeoff with the flaps in a retracted position. This resulted from a combination of factors: a) inadequate cockpit checklist and procedures; b) a warning system inadequacy associated with cold weather operations; c) ineffective control practices regarding manufacturer's Service Bulletins; and d) stresses imposed upon the crew by their attempts to meet an air traffic control deadline."
2448,December,27,1968,not c,20,22,North Central Airlines,Air,Convair CV-580,No category,United States,Minneapolis - Chicago - Milwaukee,45 ,27 ,1,"The aircraft crashed during an instrument approach after a go-around, nearly inverted, into a hangar. Spacial disorientation of the crew precipitated by refraction of the landing or approach lights during transition from flying IFR to visual reference to the ground."
2449,December,31,1968,not c,Unknown,Unknown,Servicios Aéreos Especiales,Services,Douglas DC-3,No category,Mexico,Reynosa - Tampico,26 ,26 ,0,Crashed into a mountain.
2450,December,31,1968,not c,08,30,MacRobertson Miller Airlines,Air,Vickers Viscount 720,No category,Australia,Perth - Port Hedland,26 ,26 ,0,"Last radio contact  from the aircraft was at 11:34 local 30 DME south of Port Hedland in moderate turbulence. The aircraft was seen descending rapidly. Wreckage was found 28 miles south of Port Hedland. The accident was caused by a crack originating at a bolt hole in the wing spar. Also, it was found that someone  had carried out an incorrect procedure on the spar, by forcing an oversize bush into the housing of the lower spar boom, resulting in damage which exacerbated the spread of the hairline fracture."
2451,January,02,1969,not c,20,12,China Airlines (Taiwan),Air,Douglas DC-3D,No category,Taiwan,Kaohsiung - Hualien,24 ,24 ,0,Encountered extreme turbulence and downdrafts while en route.
2452,January,02,1969,not c,12,43,ERA Helicopter,Helicopter,Bell 205A,No category,United States,Unknown,2 ,2 ,0,The helicopter crashed into the water after a uncontrolled descent. Moisture in the servo cylinder vent ports froze causing the pilot valves ports to become inoperative causing the  pitch control to lock-up.
2453,January,05,1969,c,02,35,Ariana Afghan Airlines,Air,Boeing B-727-113C,Douglas, England,Frankfurt - London,62 ,48 ,2,The aircraft descended below the glide slope and crashed into trees and a house short of the runway.  Incorrect setting of flaps and instruments.
2454,January,06,1969,not c,20,35,Allegheny Airlines,Air,Convair CV-580,No category,United States,Washington - Harrisburgh - Bradford - Erie - Detroit,28 ,11 ,0,"Crashed, clipping tree tops short of the runway, in light snow while on approach. An excessive descent was not detected or corrected by the crew for reasons unknown. Possibilities include an altimeter failure or misreading of the instrument approach chart."
2455,January,06,1969,not c,Unknown,Unknown,China Air Lines,Air,Douglas DC-3,No category,Thailand,Unknown,24 ,24 ,0,Crashed onto a mountain slope obscured by clouds.
2456,January,13,1969,not c,19,21,Scandinavian Airlines (SAS),Air,McDonnell Douglas DC-8-62,No category,United States,Copenhagen - Los Angeles - Seattle,45 ,15 ,0,"The aircraft was on approach to 07R when it crashed into Santa Monica Bay 6 miles short of the runway. The fuselage  broke into 3 pieces one of which floated for 20 hours. SAS did not authorize a back course approach to LAX.  A VOR approach was conducted without notifying the controlling authority. The crew was preoccupied with a landing gear light problem. Lack of crew coordination and inadequate monitoring of aircraft position which resulted in an unplanned descent into the water. The aircraft was named ""Sverre Viking."""
2457,January,13,1969,not c,Unknown,Unknown,Military - US Air Force,Military,Boeing RC 135S,Douglas,United States,Reconnaissance,18 ,18 ,0,"""Rivet Ball"" was returning from a reconnaissance mission when it landed back at Shemya. The aircraft hydroplaned and slid off the ice covered runway, plunging into a 40 ft. ravine."
2458,January,16,1969,not c,Unknown,Unknown,Air America,Air,Unknown,No category,Vietnam,Unknown,12 ,12 ,0,Struck a mountain in poor weather while en route.
